Country,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16,20,21,21,21,23,23,38,38,72,80,88,104,104,114,164,165,228,257,265,282,327,338,391,401,437,474,505,557,612,651,716,756,777,791
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,11,22,32,37,41,50,54,57,62,68,72,85,98,108,124,151,147,156,169,168,176,177,185,198,214,237,240,230,224,221,211,213,206,212,203,218,215,230,220
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,12,12,17,17,19,20,20,20,15,16,22,32,38,44,55,46,47,92,119,148,221,216,313,354,394,449,512,626,728,839,1004,1031,1078,1160,1162,1130,1084,1100,1090,1030,1069,1053,1116,1137,1208,1273
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,38,38,52,74,87,111,131,162,186,220,263,304,327,352,354,366,403,407,428,457,473,484,489,500,504,504,481,489,500,471,471,470,464
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,5,5,5,4,5,5,5,6,10,12,13,15,15,15,13,13,13,12,12,12,12,16
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,7,7,7,9,15,15,15,15,18,17,17,17,19,19,21,18,18,17,17,17
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,11,11,16,18,18,29,31,42,53,63,74,91,122,151,259,294,329,327,430,504,600,654,569,787,778,841,960,1129,1127,1181,1234,1294,1358,1518,1452,1584,1596,1616,1736,1825,1880,1944
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,8,18,26,52,77,83,114,135,159,192,233,235,249,271,300,376,391,449,499,536,623,686,720,758,763,758,758,773,776,781,803,814,786,797,783,780,705
Australia,0,0,0,0,4,5,5,6,7,7,10,10,10,11,11,12,13,13,13,13,13,13,7,7,7,7,5,5,5,5,4,4,4,4,4,4,4,4,14,15,18,27,39,32,37,40,52,67,83,104,104,174,224,271,351,424,539,649,758,1038,1454,1587,1921,2237,2625,2936,3382,3724,4087,4183,4420,4572,4653,4819,4895,4677,4770,4880,4585,4368,4440,4449,4484,4167,4191,4044,2648,2356
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,14,18,21,29,41,55,79,104,129,178,242,297,497,648,853,1009,1328,1633,1998,2373,2797,3557,4444,5246,5549,6748,7374,7978,8223,8874,8957,9129,9222,9334,9088,8849,8614,8350,8157,7709,7172,6865,6608,6330,6209,5845,5080,4460,4014
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,6,9,9,9,11,8,8,11,11,16,21,21,21,37,37,41,54,61,76,81,104,147,163,190,243,267,328,369,406,484,545,590,665,751,816,822,847,837,847,833,836,808,797,765
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,4,4,8,9,9,10,13,13,19,22,22,24,24,20,22,28,28,29,33,33,33,35,35,39,39,36
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,33,33,36,41,47,49,49,52,55,56,81,81,81,88,160,160,151,166,154,136,146,167,177,184,179,183,226,212,238,250,235,207,223,232,268,228,258,286,261,265,294,348,341,363,380,479,572,764,876,1001,990,1008,1011
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,5,6,7,10,13,16,20,22,27,30,27,28,32,28,28,25,21,23,25,29,32,46,78,114,165,276,364,416,548,722,924,1132,1463,1705,1994
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,6,14,17,18,18,18,24,26,33,33,34,34,46,51,52,49,52,54,52,52,52,53,56,55,55,53,55,55,53
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,6,5,6,6,9,24,24,24,33,33,46,46,64,61,61,66,59,57,57,62,62,62,120,104,108,247,294,382,502,634,794,976,1331,1793,2031,2349,2687,3045,3489,3961,4395,4392
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,22,49,108,168,199,238,266,310,310,555,684,881,1052,1232,1441,1743,2219,2485,3063,3392,3686,4212,5340,6137,7718,9046,9859,10374,11004,11842,12755,13901,14493,15196,16002,16482,17296,18080,18686,19584,19979,20094,22026,22390,23014,23382
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,5,6,6,7,8,8,11,12,16,16,16,16,16,16
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,5,6,6,6,6,6,6,6,8,12,12,14,14,17,20,20,20,20,29,29,29,29,16,16,16,16,16
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10,11,11,12,12,15,19,24,27,29,32,43,61,74,80,93,101,107,114,122,128,145,170,178,193,244,247,253,274,301,320,362,398,408,431
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,7,11,13,18,24,25,24,36,61,87,90,123,133,161,171,186,228,248,309,341,390,427,497,535,573,601,598,663,691,722,736,770,777,792,807,816,847,848,883
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,5,5,12,12,12,12,12,12,12,14,14,14
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,199,318,367,613,780,1004,1519,1888,2199,2493,2902,3319,3787,4114,4300,5389,6469,7593,8570,9788,10517,11470,13221,15224,16969,18408,19430,20796,21929,20684,12558,14475,17515,20278
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,37,40,50,54,56,68,75,77,81,86,89,102,107,109,104,94,91,88,83,78,76,68,68,61,52,49,43,42,36,31,29,28,28,27,27,23,23
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,6,22,39,49,50,65,90,91,124,157,181,195,212,235,253,281,313,324,334,374,392,422,441,452,474,488,512,527,546,556,571,578,582,597,606,640,664,684
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,15,15,19,32,39,57,66,90,103,132,135,159,175,187,203,215,220,222,236,236,238,238,238,257,273,273,302,309,309,321,284,257,228,208
Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,14,14,14,19,19,20,20,21,21,19,18,22,33,35,56,57,68,79,79,88
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,5,5,4,4,4,4,4,4
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,3,3,4,4,5,5,5,5,5,5,6,6,5,5,5,5,5,6,6,8,9,54,54,54,56
Cambodia,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,6,6,32,34,36,50,52,83,86,87,86,86,88,86,82,86,86,84,76,79,64,64,61,57,54,57,47,45,45,45,31,26,24,24,19
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,4,10,10,13,20,27,40,56,66,72,72,87,87,128,128,182,217,289,484,529,624,632,606,660,660,710,710,710,710,704,666,810,810,818
Canada,0,0,0,0,1,1,2,2,2,4,4,4,4,4,5,5,7,7,7,7,7,6,6,6,6,6,7,7,7,7,6,6,6,7,8,8,7,8,14,18,21,24,27,31,43,46,56,68,70,99,108,184,189,243,402,464,640,782,922,1248,1438,2053,2654,3038,3820,4372,5049,5750,6852,6834,8127,9410,10083,10183,12485,12968,13706,14580,14989,15647,16073,16461,17142,17925,18236,19853,20914,21992
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,5,7,7,8,8,9,9,9,8,8,9,9,9,16,21,21,21,22,22,25
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,8,8,13,23,23,43,61,74,155,201,238,238,428,531,623,736,903,1117,1280,1562,1842,2057,2285,2570,2781,3051,3288,3606,3819,4050,4175,4383,4641,4865,4990,5074,5076,5179,5242,5403,5515,5569
China,503,595,858,1325,1970,2737,5277,5834,7835,9375,11357,15806,18677,22373,25762,28477,31393,33413,35705,37424,38638,38560,52309,56860,57452,57992,58108,58002,56541,54825,54608,51859,51390,49631,47413,45365,42924,39809,37199,34898,32368,29864,27402,25230,23702,22159,20335,18933,17567,16116,14859,13569,12124,10783,9906,9030,8106,7372,6731,6189,5799,5410,5030,4603,4310,3881,3600,3236,2967,2764,2640,2545,2425,2267,2062,2020,1973,1905,1865,1810,1794,1835,1829,1761,1699,1656,1572,1537
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,9,13,22,34,54,64,92,101,127,195,226,271,369,458,477,523,592,682,771,859,1009,1087,1187,1289,1362,1445,1630,1877,1980,2196,2395,2397,2421,2498,2522,2539,2652,2652
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4,4,19,19,19,19,18,18,18,38,38,38,38,50,50,50,50,50,50,101,101,126,126
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,14,18,22,29,35,43,46,48,46,57,57,71,88,97,118,118,133,133,138,153,153,153,182,187,198,198,201,212,222,239,256
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,9,13,22,23,26,27,35,41,50,68,88,113,130,154,173,197,227,258,290,309,324,341,369,388,403,420,436,447,457,470,506,513,525,536,547,549,555,564,557,554
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,5,8,8,13,13,24,71,77,93,98,98,160,161,171,180,178,198,219,221,279,305,333,389,389,471,484,531,518,518,502,489,554
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,7,7,9,10,10,11,12,12,12,14,19,19,31,37,48,55,61,77,99,122,200,248,309,376,419,470,546,607,655,717,794,884,916,979,995,1042,1076,1097,1145,1168,1243,1190,1204,1225,1258,1235,1227,1178,1178
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,6,10,15,20,34,39,46,55,64,74,112,132,162,172,194,214,248,267,297,323,358,418,472,498,527,559,584,613,639,664,700,727
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,14,26,26,33,46,49,67,67,84,91,112,118,126,139,142,159,194,201,231,283,318,357,382,400,411,438,465,501,527,545,557,585,618,638,646,661,670
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,12,18,19,31,31,41,91,94,141,189,253,295,393,461,691,829,989,1113,1229,1381,1638,1906,2259,2609,2790,2953,3232,3408,3747,3966,4335,4424,4623,4757,4980,5156,5267,5291,5389,5397,5308,5231,5292,5202,5198
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,11,11,23,23,36,91,263,443,616,803,834,872,929,1020,1111,1218,1327,1406,1500,1547,1650,1787,1932,2091,2244,2419,2605,2872,2215,2278,2520,2729,2953,3199,3442,3616,3710,3838,3820,3805,3825,3718,3642,3550,3361,3060
Diamond Princess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,64,135,135,175,175,218,285,355,454,542,620,631,631,631,688,688,688,691,691,689,689,689,689,690,690,690,660,660,660,660,660,374,374,374,374,374,374,374,380,380,380,379,379,379,377,115,105,105,105,99,99,99,98,82,82,82,82,82,82,82,82,82,82,82,82,61,61,56,55,55
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,11,11,12,14,18,18,30,33,40,41,42,50,81,81,110,110,113,149,176,255,308,362,516,654,654
