x,y,yOffset
US,54881,-6
Italy,26644,-6
Spain,23190,-6
France,22890,-6
United Kingdom,20794,-6
Belgium,7094,-6
Germany,5976,-6
Iran,5710,-6
China,4637,-6
Netherlands,4491,-6
Brazil,4286,-6
Turkey,2805,-6
Canada,2663,-6
Sweden,2194,-6
Switzerland,1610,-6
Mexico,1351,-6
Ireland,1087,-6
Portugal,903,-6
India,881,-6
Russia,747,-6
Indonesia,743,-6
Peru,728,-6
Romania,619,-6
Ecuador,576,-6
Austria,542,-6
Poland,535,-6
Philippines,501,-6
Algeria,425,-6
Denmark,422,-6
Japan,372,-6
Egypt,317,-6
Pakistan,281,-6
Dominican Republic,278,-6
Hungary,272,-6
Colombia,244,-6
"Korea, South",243,-6
Czechia,220,-6
Ukraine,209,-6
Israel,201,-6
Norway,201,-6
Argentina,192,-6
Finland,190,-6
Chile,189,-6
Panama,165,-6
Morocco,161,-6
Bangladesh,145,-6
Saudi Arabia,139,-6
Greece,134,-6
Serbia,125,-6
Malaysia,98,-6
Moldova,96,-6
Luxembourg,88,-6
South Africa,87,-6
Iraq,87,-6
Australia,83,-6
Slovenia,82,-6
United Arab Emirates,76,-6
Belarus,72,-6
North Macedonia,61,-6
Honduras,59,-6
Bosnia and Herzegovina,59,-6
Bulgaria,56,-6
Cameroon,56,-6
Croatia,55,-6
Cuba,54,-6
Thailand,51,-6
Afghanistan,50,-6
Bolivia,50,-6
Estonia,49,-6
Burkina Faso,42,-6
San Marino,41,-6
Lithuania,41,-6
Andorra,40,-6
Nigeria,40,-6
Tunisia,38,-6
Niger,29,-6
Albania,28,-6
Congo (Kinshasa),28,-6
Armenia,28,-6
Kazakhstan,25,-6
Lebanon,24,-6
Mali,23,-6
Somalia,23,-6
Sudan,21,-6
Azerbaijan,21,-6
Kuwait,20,-6
New Zealand,19,-6
Slovakia,18,-6
Uruguay,15,-6
Guatemala,15,-6
Cyprus,14,-6
Kenya,14,-6
Cote d'Ivoire,14,-6
Diamond Princess,13,-6
Kosovo,12,-6
Latvia,12,-6
Liberia,12,-6
Singapore,12,-6
Ghana,11,-6
Bahamas,11,-6
Qatar,10,-6
Tanzania,10,-6
Venezuela,10,-6
Iceland,10,-6
Oman,10,-6
Senegal,9,-6
Mauritius,9,-6
Paraguay,9,-6
Trinidad and Tobago,8,-6
Bahrain,8,-6
Guyana,8,-6
Kyrgyzstan,8,-6
Uzbekistan,8,-6
El Salvador,8,-6
Sri Lanka,7,-6
Jordan,7,-6
Jamaica,7,-6
Guinea,7,-6
Montenegro,7,-6
Georgia,6,-6
Togo,6,-6
Barbados,6,-6
Congo (Brazzaville),6,-6
Taiwan*,6,-6
Costa Rica,6,-6
Haiti,6,-6
Burma,5,-6
Zimbabwe,4,-6
Sierra Leone,4,-6
Monaco,4,-6
Malta,4,-6
Malawi,3,-6
Antigua and Barbuda,3,-6
Syria,3,-6
Zambia,3,-6
Gabon,3,-6
Nicaragua,3,-6
Ethiopia,3,-6
Djibouti,2,-6
Libya,2,-6
MS Zaandam,2,-6
Belize,2,-6
Angola,2,-6
West Bank and Gaza,2,-6
Eswatini,1,-6
Gambia,1,-6
Botswana,1,-6
Suriname,1,-6
Brunei,1,-6
Benin,1,-6
Burundi,1,-6
Cabo Verde,1,-6
Mauritania,1,-6
Equatorial Guinea,1,-6
Liechtenstein,1,-6
Guinea-Bissau,1,-6
Timor-Leste,0,-6
Uganda,0,-6
Laos,0,-6
Yemen,0,-6
Vietnam,0,-6
Western Sahara,0,-6
Holy See,0,-6
Mozambique,0,-6
Bhutan,0,-6
Saint Kitts and Nevis,0,-6
Nepal,0,-6
Fiji,0,-6
Eritrea,0,-6
Mongolia,0,-6
Papua New Guinea,0,-6
Dominica,0,-6
Grenada,0,-6
Rwanda,0,-6
Saint Lucia,0,-6
South Sudan,0,-6
Saint Vincent and the Grenadines,0,-6
Sao Tome and Principe,0,-6
Chad,0,-6
Maldives,0,-6
Central African Republic,0,-6
Seychelles,0,-6
Namibia,0,-6
Cambodia,0,-6
Madagascar,0,-6
