x,Id,y
Afghanistan,83,40
Albania,84,104
Algeria,85,230
Andorra,86,133
Angola,87,3
Antigua and Barbuda,88,3
Argentina,89,266
Armenia,90,235
Australia,6,1682
Austria,91,4474
Azerbaijan,92,72
Bahamas,93,4
Bahrain,94,377
Bangladesh,95,33
Barbados,96,17
Belarus,97,81
Belgium,98,3743
Belize,99,1
Benin,100,5
Bhutan,101,2
Bolivia,102,27
Bosnia and Herzegovina,103,132
Brazil,104,1924
Brunei,105,91
Bulgaria,106,201
Burkina Faso,107,99
Cabo Verde,108,3
Cambodia,109,87
Cameroon,110,56
Canada,2,2088
Central African Republic,111,3
Chad,112,1
Chile,113,746
China,4,81496
Colombia,114,277
Congo (Brazzaville),115,4
Congo (Kinshasa),116,36
Costa Rica,117,158
Cote d'Ivoire,118,25
Croatia,119,315
Cruise Ship,15,712
Cuba,120,40
Cyprus,121,116
Czechia,122,1236
Denmark,17,1572
Djibouti,124,3
Dominica,125,2
Dominican Republic,126,245
Ecuador,127,981
Egypt,128,366
El Salvador,129,3
Equatorial Guinea,130,9
Eritrea,131,1
Estonia,132,352
Eswatini,133,4
Ethiopia,134,11
Fiji,135,3
Finland,136,700
France,18,20123
Gabon,137,5
Gambia,138,2
Georgia,139,61
Germany,140,29056
Ghana,141,27
Greece,142,695
Grenada,143,1
Guatemala,144,20
Guinea,145,4
Guyana,146,20
Haiti,147,6
Holy See,148,1
Honduras,149,27
Hungary,150,167
Iceland,151,588
India,152,499
Indonesia,153,579
Iran,154,23049
Iraq,155,266
Ireland,156,1125
Israel,157,1442
Italy,158,63927
Jamaica,159,19
Japan,160,1128
Jordan,161,127
Kazakhstan,162,62
Kenya,163,16
"Korea, South",164,8961
Kuwait,165,189
Kyrgyzstan,166,16
Latvia,167,180
Lebanon,168,267
Liberia,169,3
Liechtenstein,170,51
Lithuania,171,179
Luxembourg,172,875
Madagascar,173,12
Malaysia,174,1518
Maldives,175,13
Malta,176,107
Mauritania,177,2
Mauritius,178,36
Mexico,179,316
Moldova,180,109
Monaco,181,23
Mongolia,182,10
Montenegro,183,27
Morocco,184,143
Mozambique,185,1
Namibia,186,4
Nepal,187,2
Netherlands,5,4764
New Zealand,189,102
Nicaragua,190,2
Niger,191,3
Nigeria,192,40
North Macedonia,193,136
Norway,194,2621
Oman,195,66
Pakistan,196,875
Panama,197,313
Papua New Guinea,198,1
Paraguay,199,22
Peru,200,395
Philippines,201,462
Poland,202,749
Portugal,203,2060
Qatar,204,501
Romania,205,576
Russia,206,438
Rwanda,207,36
Saint Lucia,208,3
Saint Vincent and the Grenadines,209,1
San Marino,210,187
Saudi Arabia,211,562
Senegal,212,79
Serbia,213,249
Seychelles,214,7
Singapore,215,509
Slovakia,216,186
Slovenia,217,442
Somalia,218,1
South Africa,219,402
Spain,220,35136
Sri Lanka,221,97
Sudan,222,2
Suriname,223,5
Sweden,224,2046
Switzerland,225,8795
Syria,226,1
Taiwan*,227,195
Tanzania,228,12
Thailand,229,721
Timor-Leste,230,1
Togo,231,18
Trinidad and Tobago,232,51
Tunisia,233,89
Turkey,234,1529
US,1,43667
Uganda,235,9
Ukraine,236,73
United Arab Emirates,237,198
United Kingdom,8,6726
Uruguay,239,158
Uzbekistan,240,46
Venezuela,241,77
Vietnam,242,123
Zambia,243,3
Zimbabwe,244,3
